transaction_id,date,store_location,customer_id,product_name,category,quantity,unit_price,total_amount,status,payment_method,clubcard_member
TXN12408,2023-01-01,Stevenage,CUST0807,Croissants 4pk,Bakery,2,1.9,3.8,Fulfilled,Contactless,Yes
TXN9889,2023-01-01,Welwyn Garden City,CUST2316,Fabric Softener 1L,Household,2,3.22,6.44,Fulfilled,Contactless,No
TXN11276,2023-01-01,Luton,CUST2197,Pasta 500g,Grocery,3,0.87,2.61,Fulfilled,Card,No
TXN14770,2023-01-01,Stevenage,CUST1925,Butter 250g,Grocery,3,1.79,5.37,Fulfilled,Contactless,Yes
TXN7179,2023-01-01,Hatfield,CUST1591,Chicken Breast 500g,Meat & Fish,1,3.5,3.5,Fulfilled,Contactless,No
TXN7050,2023-01-01,Stevenage,CUST0883,Shampoo 400ml,Health & Beauty,1,2.99,2.99,Fulfilled,Contactless,Yes
TXN2598,2023-01-01,Welwyn Garden City,CUST2880,Shampoo 400ml,Health & Beauty,4,3.05,12.2,Fulfilled,Card,Yes
TXN11426,2023-01-01,Hatfield,CUST0854,Frozen Peas 900g,Frozen,1,1.5,0.0,Cancelled,Contactless,No
TXN2608,2023-01-01,Hatfield,CUST1256,Fabric Softener 1L,Household,2,3.37,6.74,Fulfilled,Contactless,Yes
TXN11377,2023-01-01,Stevenage,CUST1889,Sweet Potatoes 1kg,Fresh Produce,1,1.5,1.5,Fulfilled,Contactless,No
TXN15322,2023-01-01,Luton,CUST1469,Crisps Multipack,Grocery,1,2.56,2.56,Fulfilled,Cash,Yes
TXN15916,2023-01-01,Watford,CUST2838,Bagels 5pk,Bakery,1,1.5,1.5,Fulfilled,Card,Yes
TXN4577,2023-01-01,St Albans,CUST2432,Kitchen Roll 6pk,Household,3,3.54,0.0,Cancelled,Cash,Yes
TXN12749,2023-01-01,Welwyn Garden City,CUST1878,Sweet Potatoes 1kg,Fresh Produce,2,1.48,2.96,Fulfilled,Contactless,Yes
TXN14270,2023-01-01,Welwyn Garden City,CUST2957,Chicken Breast 500g,Meat & Fish,1,3.43,3.43,Fulfilled,Card,Yes
TXN13862,2023-01-01,Stevenage,CUST0619,Carrots 1kg,Fresh Produce,3,0.64,1.92,Fulfilled,Contactless,Yes
TXN6405,2023-01-01,Hemel Hempstead,CUST0442,Vitamins C 60pk,Health & Beauty,1,3.91,3.91,Fulfilled,Contactless,No
TXN7552,2023-01-01,Stevenage,CUST2856,Frozen Pizza Margherita,Frozen,1,2.52,0.0,Cancelled,Card,Yes
TXN3787,2023-01-01,Welwyn Garden City,CUST0628,All-Purpose Cleaner 750ml,Household,2,1.84,3.68,Fulfilled,Card,No
TXN6771,2023-01-01,Luton,CUST2959,Chicken Nuggets 500g,Frozen,5,2.98,14.9,Fulfilled,Card,Yes
TXN5110,2023-01-02,Stevenage,CUST0315,Pasta 500g,Grocery,4,0.87,3.48,Fulfilled,Contactless,Yes
TXN12512,2023-01-02,Hemel Hempstead,CUST1096,Rice 1kg,Grocery,1,1.39,1.39,Fulfilled,Card,Yes
TXN5152,2023-01-02,Luton,CUST1007,Shower Gel 500ml,Health & Beauty,1,1.85,1.85,Fulfilled,Contactless,Yes
TXN12611,2023-01-02,Hatfield,CUST0579,Carrots 1kg,Fresh Produce,1,0.64,0.64,Fulfilled,Contactless,Yes
TXN14998,2023-01-02,St Albans,CUST0427,Sweet Potatoes 1kg,Fresh Produce,1,1.45,1.45,Fulfilled,Card,Yes
TXN9459,2023-01-02,Hatfield,CUST1982,Bin Bags 40pk,Household,2,2.56,5.12,Fulfilled,Card,Yes
TXN12359,2023-01-02,Stevenage,CUST1257,Wholemeal Bread 800g,Grocery,1,1.23,1.23,Fulfilled,Clubcard Pay+,No
TXN8192,2023-01-02,Stevenage,CUST1781,Sweet Potatoes 1kg,Fresh Produce,2,1.45,0.0,Cancelled,Clubcard Pay+,No
TXN5782,2023-01-02,Stevenage,CUST1357,Chicken Breast 500g,Meat & Fish,5,3.55,17.75,Fulfilled,Card,Yes
TXN5967,2023-01-02,Luton,CUST0029,Cheddar Cheese 400g,Grocery,1,2.5,2.5,Fulfilled,Card,Yes
TXN10999,2023-01-02,Hatfield,CUST1556,Orange Juice 1L,Grocery,3,1.49,4.47,Fulfilled,Card,No
TXN8088,2023-01-02,Hatfield,CUST2443,Shampoo 400ml,Health & Beauty,2,2.94,5.88,Fulfilled,Contactless,No
TXN14593,2023-01-02,Hemel Hempstead,CUST0640,Grapes 500g,Fresh Produce,2,1.94,3.88,Fulfilled,Card,Yes
TXN11261,2023-01-02,Luton,CUST1379,Carrots 1kg,Fresh Produce,2,0.64,1.28,Fulfilled,Contactless,Yes
TXN11309,2023-01-02,Hatfield,CUST0785,Orange Juice 1L,Grocery,2,1.53,3.06,Fulfilled,Clubcard Pay+,Yes
TXN11695,2023-01-02,Watford,CUST1999,Broccoli Head,Fresh Produce,3,0.9,2.7,Fulfilled,Card,Yes
TXN11620,2023-01-02,St Albans,CUST0272,Paracetamol 16pk,Health & Beauty,2,0.96,0.0,Cancelled,Cash,Yes
TXN11445,2023-01-02,Luton,CUST0726,Seeded Rolls 4pk,Bakery,1,1.25,1.25,Fulfilled,Card,Yes
TXN2854,2023-01-02,Hemel Hempstead,CUST2578,Baby Spinach 200g,Fresh Produce,1,1.32,1.32,Fulfilled,Contactless,No
TXN8086,2023-01-02,Luton,CUST1344,Cod Fillets 300g,Meat & Fish,2,3.76,7.52,Fulfilled,Contactless,No
TXN7210,2023-01-02,St Albans,CUST2081,Frozen Berries 500g,Frozen,3,2.3,6.9,Fulfilled,Card,Yes
TXN14634,2023-01-02,Luton,CUST0585,Wholemeal Bread 800g,Grocery,2,1.27,2.54,Fulfilled,Contactless,Yes
TXN3954,2023-01-02,Hemel Hempstead,CUST0712,Baked Beans 4pk,Grocery,3,1.26,3.78,Fulfilled,Contactless,Yes
TXN3877,2023-01-02,Hatfield,CUST0086,Whole Milk 2L,Grocery,3,1.11,3.33,Fulfilled,Card,No
TXN4358,2023-01-02,Watford,CUST1209,Chicken Breast 500g,Meat & Fish,1,3.49,0.0,Cancelled,Contactless,Yes
TXN14894,2023-01-02,Stevenage,CUST2157,Chicken Thighs 1kg,Meat & Fish,1,3.88,3.88,Fulfilled,Clubcard Pay+,Yes
TXN2079,2023-01-02,Hertford,CUST0452,Greek Yoghurt 500g,Grocery,1,1.66,1.66,Fulfilled,Contactless,Yes
TXN15833,2023-01-02,St Albans,CUST0615,Green Tea 40pk,Drinks,2,2.54,5.08,Fulfilled,Contactless,Yes
TXN3019,2023-01-02,Luton,CUST0186,Rice 1kg,Grocery,2,1.39,2.78,Fulfilled,Clubcard Pay+,Yes
TXN3971,2023-01-02,Welwyn Garden City,CUST0934,Baked Beans 4pk,Grocery,1,1.3,1.3,Fulfilled,Card,Yes
TXN9828,2023-01-02,St Albans,CUST1370,Baked Beans 4pk,Grocery,4,1.29,5.16,Fulfilled,Contactless,Yes
TXN13820,2023-01-02,Welwyn Garden City,CUST1374,Grapes 500g,Fresh Produce,2,2.02,4.04,Fulfilled,Contactless,No
TXN4789,2023-01-02,Hertford,CUST2683,Frozen Pizza Margherita,Frozen,2,2.51,5.02,Fulfilled,Clubcard Pay+,Yes
TXN13425,2023-01-02,Watford,CUST0365,Bell Peppers 3pk,Fresh Produce,1,1.45,1.45,Fulfilled,Contactless,Yes
TXN4056,2023-01-02,Stevenage,CUST1293,Orange Squash 750ml,Drinks,2,1.32,2.64,Fulfilled,Contactless,Yes
TXN10381,2023-01-02,Hatfield,CUST1686,Cod Fillets 300g,Meat & Fish,1,3.85,3.85,Fulfilled,Cash,Yes
TXN2977,2023-01-02,St Albans,CUST1814,Dishwasher Tablets 30pk,Household,4,6.84,27.36,Fulfilled,Contactless,Yes
TXN12802,2023-01-02,St Albans,CUST1618,Salmon Fillets 2pk,Meat & Fish,3,4.47,13.41,Fulfilled,Contactless,Yes
TXN3356,2023-01-02,Hemel Hempstead,CUST2572,Greek Yoghurt 500g,Grocery,4,1.64,6.56,Fulfilled,Contactless,Yes
TXN1847,2023-01-03,Hertford,CUST2572,Pork Sausages 6pk,Meat & Fish,3,2.56,7.68,Fulfilled,Card,No
TXN3915,2023-01-03,Luton,CUST2499,Deodorant 150ml,Health & Beauty,1,2.33,2.33,Fulfilled,Card,No
TXN9618,2023-01-03,Welwyn Garden City,CUST0717,Bacon Rashers 200g,Meat & Fish,1,2.28,2.28,Fulfilled,Clubcard Pay+,No
TXN1802,2023-01-03,Stevenage,CUST2773,Pain au Chocolat 4pk,Bakery,2,2.23,4.46,Fulfilled,Contactless,Yes
TXN13692,2023-01-03,Stevenage,CUST0729,Apples 6pk,Fresh Produce,2,1.29,2.58,Fulfilled,Contactless,Yes
TXN7666,2023-01-03,Hatfield,CUST2586,Chicken Thighs 1kg,Meat & Fish,3,4.06,12.18,Fulfilled,Contactless,No
TXN9015,2023-01-03,Watford,CUST2369,Cornflakes 500g,Grocery,4,1.87,7.48,Fulfilled,Cash,Yes
TXN15285,2023-01-03,Luton,CUST0863,Lamb Chops 400g,Meat & Fish,1,5.44,5.44,Fulfilled,Contactless,Yes
TXN7327,2023-01-03,St Albans,CUST1844,Free Range Eggs 6pk,Grocery,1,1.94,1.94,Fulfilled,Contactless,No
TXN11591,2023-01-03,Luton,CUST1509,White Bread 800g,Grocery,3,1.15,3.45,Fulfilled,Card,Yes
TXN9126,2023-01-03,Welwyn Garden City,CUST1902,Conditioner 400ml,Health & Beauty,2,3.03,6.06,Fulfilled,Cash,No
TXN3639,2023-01-03,Luton,CUST2189,Greek Yoghurt 500g,Grocery,4,1.62,6.48,Fulfilled,Clubcard Pay+,Yes
TXN11698,2023-01-03,Luton,CUST2474,Paracetamol 16pk,Health & Beauty,1,0.98,0.98,Fulfilled,Card,Yes
TXN6520,2023-01-03,Watford,CUST2356,Moisturiser 200ml,Health & Beauty,3,4.44,13.32,Fulfilled,Card,No
TXN3480,2023-01-03,Hatfield,CUST1991,Veggie Burgers 4pk,Frozen,5,2.86,14.3,Fulfilled,Card,Yes
TXN6932,2023-01-03,Hatfield,CUST1413,Cod Fillets 300g,Meat & Fish,2,3.66,7.32,Fulfilled,Contactless,Yes
TXN9142,2023-01-03,Luton,CUST0174,Cola 6pk,Drinks,1,3.45,3.45,Fulfilled,Clubcard Pay+,Yes
TXN11332,2023-01-03,Welwyn Garden City,CUST2623,Croissants 4pk,Bakery,5,1.92,9.6,Fulfilled,Contactless,Yes
TXN13507,2023-01-03,Hertford,CUST2467,Baby Spinach 200g,Fresh Produce,4,1.28,5.12,Fulfilled,Contactless,Yes
TXN9092,2023-01-03,Stevenage,CUST1674,Veggie Burgers 4pk,Frozen,3,2.71,8.13,Fulfilled,Card,Yes
TXN7515,2023-01-03,Hatfield,CUST0007,Pasta 500g,Grocery,3,0.89,2.67,Fulfilled,Card,Yes
TXN8418,2023-01-03,Welwyn Garden City,CUST1240,All-Purpose Cleaner 750ml,Household,6,1.93,11.58,Fulfilled,Card,Yes
TXN8267,2023-01-03,St Albans,CUST0692,Free Range Eggs 6pk,Grocery,1,1.89,0.0,Cancelled,Card,No
TXN10907,2023-01-03,Welwyn Garden City,CUST2071,Fabric Softener 1L,Household,2,3.19,6.38,Fulfilled,Contactless,Yes
TXN5342,2023-01-03,Watford,CUST1925,Pork Sausages 6pk,Meat & Fish,2,2.52,5.04,Fulfilled,Contactless,Yes
TXN2299,2023-01-03,Luton,CUST0388,Cherry Tomatoes 300g,Fresh Produce,1,1.16,1.16,Fulfilled,Contactless,Yes
TXN10964,2023-01-03,St Albans,CUST1113,Washing Powder 2kg,Household,1,5.49,5.49,Fulfilled,Clubcard Pay+,No
TXN15592,2023-01-03,Watford,CUST1436,Avocado Each,Fresh Produce,3,0.81,0.0,Cancelled,Clubcard Pay+,No
TXN12695,2023-01-03,Hatfield,CUST2036,Washing Up Liquid 500ml,Household,2,1.07,2.14,Fulfilled,Contactless,No
TXN3034,2023-01-03,Stevenage,CUST1480,Instant Coffee 200g,Drinks,5,3.89,19.45,Fulfilled,Contactless,Yes
TXN14018,2023-01-03,St Albans,CUST1497,Instant Coffee 200g,Drinks,3,3.89,11.67,Fulfilled,Cash,Yes
TXN8539,2023-01-03,St Albans,CUST0524,Vitamins C 60pk,Health & Beauty,1,4.0,0.0,Cancelled,Contactless,Yes
TXN12534,2023-01-03,St Albans,CUST0843,Baked Beans 4pk,Grocery,5,1.31,6.55,Fulfilled,Card,No
TXN5750,2023-01-03,Hatfield,CUST0181,Lamb Chops 400g,Meat & Fish,3,5.36,16.08,Fulfilled,Card,Yes
TXN3048,2023-01-03,Stevenage,CUST2066,Deodorant 150ml,Health & Beauty,4,2.34,9.36,Fulfilled,Card,Yes
TXN14214,2023-01-03,Welwyn Garden City,CUST1653,Chicken Breast 500g,Meat & Fish,1,3.49,3.49,Fulfilled,Contactless,Yes
TXN5805,2023-01-03,Stevenage,CUST1868,Frozen Chips 1.5kg,Frozen,4,1.86,7.44,Fulfilled,Card,Yes
TXN10232,2023-01-03,Hemel Hempstead,CUST1042,Seeded Rolls 4pk,Bakery,1,1.28,1.28,Fulfilled,Card,Yes
TXN5829,2023-01-03,Stevenage,CUST2764,Moisturiser 200ml,Health & Beauty,1,4.55,4.55,Fulfilled,Card,Yes
TXN5914,2023-01-03,Welwyn Garden City,CUST1133,Cheddar Cheese 400g,Grocery,2,2.48,4.96,Fulfilled,Cash,No
TXN12583,2023-01-03,Luton,CUST1802,Semi-Skimmed Milk 2L,Grocery,2,1.05,2.1,Fulfilled,Contactless,Yes
TXN13071,2023-01-03,St Albans,CUST1702,Hot Cross Buns 6pk,Bakery,2,1.62,3.24,Fulfilled,Contactless,No
TXN12132,2023-01-03,Hatfield,CUST0307,Wholemeal Bread 800g,Grocery,2,1.25,2.5,Fulfilled,Cash,Yes
TXN5773,2023-01-03,Watford,CUST1290,Carrots 1kg,Fresh Produce,4,0.67,2.68,Fulfilled,Card,No
TXN12573,2023-01-03,Hatfield,CUST2771,Shower Gel 500ml,Health & Beauty,2,1.89,3.78,Fulfilled,Card,Yes
TXN2123,2023-01-04,Watford,CUST1260,Toothpaste 100ml,Health & Beauty,2,1.47,2.94,Fulfilled,Cash,No
TXN7250,2023-01-04,St Albans,CUST0880,Carrots 1kg,Fresh Produce,1,0.63,0.63,Fulfilled,Contactless,Yes
TXN8653,2023-01-04,Watford,CUST1991,Croissants 4pk,Bakery,4,1.84,7.36,Fulfilled,Contactless,No
TXN9719,2023-01-04,St Albans,CUST0015,Paracetamol 16pk,Health & Beauty,1,1.0,1.0,Fulfilled,Clubcard Pay+,Yes
TXN8636,2023-01-04,Hatfield,CUST0285,Veggie Burgers 4pk,Frozen,3,2.72,8.16,Fulfilled,Contactless,Yes
TXN10854,2023-01-04,Hemel Hempstead,CUST1940,Bin Bags 40pk,Household,2,2.54,5.08,Fulfilled,Clubcard Pay+,No
TXN9951,2023-01-04,Watford,CUST1767,Vitamins C 60pk,Health & Beauty,1,3.89,3.89,Fulfilled,Card,No
TXN9736,2023-01-04,St Albans,CUST0526,Apples 6pk,Fresh Produce,1,1.26,1.26,Fulfilled,Cash,No
TXN10364,2023-01-04,Hatfield,CUST0511,White Bread 800g,Grocery,2,1.14,2.28,Fulfilled,Card,Yes
TXN10242,2023-01-04,Luton,CUST1716,Broccoli Head,Fresh Produce,3,0.88,2.64,Fulfilled,Card,Yes
TXN8233,2023-01-04,Stevenage,CUST0452,Seeded Rolls 4pk,Bakery,1,1.28,1.28,Fulfilled,Card,No
TXN8899,2023-01-04,Hemel Hempstead,CUST0467,Bell Peppers 3pk,Fresh Produce,3,1.52,4.56,Fulfilled,Card,Yes
TXN7943,2023-01-04,Welwyn Garden City,CUST1286,Hot Cross Buns 6pk,Bakery,2,1.63,3.26,Fulfilled,Clubcard Pay+,No
TXN8154,2023-01-04,Hatfield,CUST1449,Doughnuts 5pk,Bakery,3,1.81,5.43,Fulfilled,Clubcard Pay+,Yes
TXN8974,2023-01-04,Stevenage,CUST2171,Bananas Bunch,Fresh Produce,4,0.7,2.8,Fulfilled,Card,Yes
TXN8342,2023-01-04,Luton,CUST2387,Apples 6pk,Fresh Produce,2,1.27,2.54,Fulfilled,Card,No
TXN10002,2023-01-04,Luton,CUST0431,Rice 1kg,Grocery,2,1.36,2.72,Fulfilled,Card,Yes
TXN11854,2023-01-04,Hatfield,CUST0478,Strawberries 400g,Fresh Produce,1,2.05,2.05,Fulfilled,Clubcard Pay+,Yes
TXN5133,2023-01-04,Luton,CUST1814,Crisps Multipack,Grocery,1,2.44,2.44,Fulfilled,Contactless,No
TXN1611,2023-01-04,Watford,CUST0120,Cheddar Cheese 400g,Grocery,1,2.53,2.53,Fulfilled,Cash,Yes
TXN12549,2023-01-04,Hertford,CUST0214,Wholemeal Bread 800g,Grocery,1,1.24,1.24,Fulfilled,Contactless,Yes
TXN12713,2023-01-04,St Albans,CUST1100,Toilet Roll 9pk,Household,3,5.05,15.15,Fulfilled,Contactless,Yes
TXN1643,2023-01-04,Hatfield,CUST2361,Bagels 5pk,Bakery,3,1.47,4.41,Fulfilled,Contactless,No
TXN15713,2023-01-04,Hatfield,CUST1905,Sports Drink 500ml,Drinks,3,1.22,3.66,Fulfilled,Contactless,No
TXN5577,2023-01-04,Hatfield,CUST2676,Ice Cream Vanilla 2L,Frozen,2,3.5,7.0,Fulfilled,Card,Yes
TXN5036,2023-01-04,Hertford,CUST0405,Sweet Potatoes 1kg,Fresh Produce,2,1.52,3.04,Fulfilled,Card,No
TXN15824,2023-01-04,St Albans,CUST2091,Butter 250g,Grocery,2,1.81,3.62,Fulfilled,Card,No
TXN12892,2023-01-04,Welwyn Garden City,CUST1089,Butter 250g,Grocery,2,1.84,3.68,Fulfilled,Card,Yes
TXN5979,2023-01-04,Welwyn Garden City,CUST0711,Beef Mince 500g,Meat & Fish,2,3.31,0.0,Cancelled,Contactless,Yes
TXN6003,2023-01-04,Hatfield,CUST1809,Wholemeal Bread 800g,Grocery,1,1.23,1.23,Fulfilled,Contactless,No
TXN1508,2023-01-04,Hertford,CUST2354,Sparkling Water 6pk,Drinks,4,2.27,9.08,Fulfilled,Clubcard Pay+,Yes
TXN2726,2023-01-04,Stevenage,CUST2300,Vitamins C 60pk,Health & Beauty,1,4.07,4.07,Fulfilled,Cash,Yes
TXN6048,2023-01-04,Hatfield,CUST2761,Fruit Smoothie 750ml,Drinks,4,3.05,12.2,Fulfilled,Clubcard Pay+,No
TXN6375,2023-01-04,Watford,CUST2572,Sweet Potatoes 1kg,Fresh Produce,2,1.48,2.96,Fulfilled,Card,No
TXN3149,2023-01-04,Watford,CUST0500,Cod Fillets 300g,Meat & Fish,1,3.76,3.76,Fulfilled,Card,Yes
TXN3530,2023-01-04,Luton,CUST2695,Whole Milk 2L,Grocery,3,1.08,3.24,Fulfilled,Contactless,Yes
TXN6904,2023-01-04,Welwyn Garden City,CUST1024,Bagels 5pk,Bakery,1,1.47,1.47,Fulfilled,Card,No
TXN3773,2023-01-04,St Albans,CUST2702,Salmon Fillets 2pk,Meat & Fish,1,4.56,4.56,Fulfilled,Contactless,Yes
TXN6845,2023-01-04,Hatfield,CUST1650,Tomato Soup 4pk,Grocery,1,1.98,1.98,Fulfilled,Card,Yes
TXN3858,2023-01-04,Welwyn Garden City,CUST1871,Seeded Rolls 4pk,Bakery,1,1.31,0.0,Cancelled,Cash,Yes
TXN13931,2023-01-05,Watford,CUST1050,Whole Milk 2L,Grocery,1,1.12,1.12,Fulfilled,Cash,No
TXN14608,2023-01-05,Hatfield,CUST2425,Seeded Rolls 4pk,Bakery,2,1.3,2.6,Fulfilled,Card,Yes
TXN15710,2023-01-05,St Albans,CUST0692,Shower Gel 500ml,Health & Beauty,2,1.88,3.76,Fulfilled,Card,No
TXN3323,2023-01-05,Hatfield,CUST2609,Sourdough Loaf,Bakery,5,1.73,8.65,Fulfilled,Clubcard Pay+,No
TXN10445,2023-01-05,Welwyn Garden City,CUST0336,Doughnuts 5pk,Bakery,5,1.76,8.8,Fulfilled,Card,Yes
TXN3473,2023-01-05,Luton,CUST1662,Orange Squash 750ml,Drinks,2,1.31,2.62,Fulfilled,Contactless,No
TXN2200,2023-01-05,Watford,CUST2893,Moisturiser 200ml,Health & Beauty,2,4.59,9.18,Fulfilled,Card,Yes
TXN8648,2023-01-05,Hatfield,CUST2714,Bell Peppers 3pk,Fresh Produce,3,1.51,4.53,Fulfilled,Card,No
TXN14659,2023-01-05,Welwyn Garden City,CUST0712,Salmon Fillets 2pk,Meat & Fish,2,4.41,8.82,Fulfilled,Card,Yes
TXN13286,2023-01-05,Watford,CUST1174,Moisturiser 200ml,Health & Beauty,1,4.5,4.5,Fulfilled,Contactless,Yes
TXN13979,2023-01-05,Luton,CUST0884,Cheddar Cheese 400g,Grocery,1,2.55,2.55,Fulfilled,Contactless,Yes
TXN13237,2023-01-05,Hemel Hempstead,CUST2567,Coffee Beans 200g,Drinks,1,4.95,4.95,Fulfilled,Contactless,Yes
TXN15853,2023-01-05,Welwyn Garden City,CUST1989,Fabric Softener 1L,Household,1,3.23,3.23,Fulfilled,Contactless,Yes
TXN2055,2023-01-05,St Albans,CUST0903,Dishwasher Tablets 30pk,Household,2,7.08,14.16,Fulfilled,Contactless,Yes
TXN14958,2023-01-05,Luton,CUST2691,Hot Cross Buns 6pk,Bakery,2,1.64,3.28,Fulfilled,Contactless,Yes
TXN13115,2023-01-05,Welwyn Garden City,CUST2459,Baby Spinach 200g,Fresh Produce,4,1.31,5.24,Fulfilled,Cash,Yes
TXN13132,2023-01-05,Hatfield,CUST0969,Shampoo 400ml,Health & Beauty,2,2.98,5.96,Fulfilled,Clubcard Pay+,Yes
TXN13222,2023-01-05,Welwyn Garden City,CUST1591,Sourdough Loaf,Bakery,3,1.7,5.1,Fulfilled,Cash,Yes
TXN13844,2023-01-05,St Albans,CUST0221,Crisps Multipack,Grocery,1,2.49,2.49,Fulfilled,Contactless,No
TXN5039,2023-01-05,Stevenage,CUST1350,Cod Fillets 300g,Meat & Fish,4,3.67,14.68,Fulfilled,Clubcard Pay+,No
TXN14911,2023-01-05,Welwyn Garden City,CUST0965,Bacon Rashers 200g,Meat & Fish,4,2.24,8.96,Fulfilled,Card,Yes
TXN7308,2023-01-05,Stevenage,CUST1137,Cod Fillets 300g,Meat & Fish,3,3.65,10.95,Fulfilled,Contactless,Yes
TXN6870,2023-01-05,Hatfield,CUST2813,Tomato Soup 4pk,Grocery,3,2.04,6.12,Fulfilled,Clubcard Pay+,Yes
TXN5741,2023-01-05,Welwyn Garden City,CUST0234,Washing Up Liquid 500ml,Household,1,1.08,1.08,Fulfilled,Contactless,No
TXN6646,2023-01-05,Welwyn Garden City,CUST0544,Veggie Burgers 4pk,Frozen,1,2.79,2.79,Fulfilled,Contactless,Yes
TXN11421,2023-01-05,St Albans,CUST1612,Cola 6pk,Drinks,1,3.5,3.5,Fulfilled,Card,Yes
TXN1295,2023-01-05,Stevenage,CUST2028,Pork Sausages 6pk,Meat & Fish,3,2.56,7.68,Fulfilled,Card,Yes
TXN7754,2023-01-05,Welwyn Garden City,CUST0138,Washing Up Liquid 500ml,Household,5,1.11,5.55,Fulfilled,Clubcard Pay+,No
TXN6390,2023-01-05,Welwyn Garden City,CUST2968,Bin Bags 40pk,Household,1,2.52,2.52,Fulfilled,Clubcard Pay+,No
TXN12263,2023-01-05,St Albans,CUST1932,Frozen Chips 1.5kg,Frozen,1,1.9,1.9,Fulfilled,Card,Yes
TXN5552,2023-01-05,Welwyn Garden City,CUST1483,Doughnuts 5pk,Bakery,1,1.75,1.75,Fulfilled,Cash,No
TXN15033,2023-01-05,Hatfield,CUST2633,Muffins 4pk,Bakery,1,2.0,0.0,Cancelled,Contactless,Yes
TXN12447,2023-01-05,St Albans,CUST0829,Crisps Multipack,Grocery,2,2.51,5.02,Fulfilled,Clubcard Pay+,Yes
TXN10875,2023-01-05,Welwyn Garden City,CUST0665,Cod Fillets 300g,Meat & Fish,1,3.76,3.76,Fulfilled,Clubcard Pay+,Yes
TXN5169,2023-01-05,Welwyn Garden City,CUST0783,Crisps Multipack,Grocery,1,2.42,2.42,Fulfilled,Contactless,Yes
TXN6993,2023-01-05,St Albans,CUST1012,Seeded Rolls 4pk,Bakery,2,1.25,2.5,Fulfilled,Contactless,No
TXN7195,2023-01-05,Welwyn Garden City,CUST2632,Rice 1kg,Grocery,3,1.37,4.11,Fulfilled,Card,Yes
TXN5951,2023-01-05,Welwyn Garden City,CUST0285,Bagels 5pk,Bakery,1,1.45,1.45,Fulfilled,Card,No
TXN7336,2023-01-05,Welwyn Garden City,CUST2230,Cornflakes 500g,Grocery,1,1.87,1.87,Fulfilled,Clubcard Pay+,Yes
TXN12589,2023-01-06,Luton,CUST1305,Fish Fingers 30pk,Frozen,1,3.27,0.0,Cancelled,Contactless,No
TXN1461,2023-01-06,Luton,CUST2201,Pain au Chocolat 4pk,Bakery,1,2.22,2.22,Fulfilled,Card,Yes
TXN11534,2023-01-06,Stevenage,CUST0854,Grapes 500g,Fresh Produce,5,2.0,10.0,Fulfilled,Card,Yes
TXN13796,2023-01-06,Watford,CUST2779,Crisps Multipack,Grocery,3,2.44,7.32,Fulfilled,Contactless,Yes
